"FullName","Lines","SizeKB"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\analyse-property-from-url\index.ts","189","6,3"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\bpe-proxy\index.ts","234","8,7"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\cadastre-from-commune\index.ts","209","7,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\cadastre-geojson-proxy\index.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\cadastre-lite\index.ts","438","13,4"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\cadastre-parcelles-bbox-v1\index.ts","132","5"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\dossier-generate-v1\index.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-context-v1\index.ts","1973","71,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\data\fetchBpe.ts","244","8,4"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\data\fetchCompetitionSenior.ts","16","0,6"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\data\fetchInsee.ts","219","8,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\data\fetchPrices.ts","18","0,6"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\data\fetchTransport.ts","87","3,3"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\insights\buildInsights.ts","173","6,7"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\lib\dvf.ts","197","7,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\lib\geo.ts","135","4,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\lib\insee.ts","132","5,3"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\lib\pois.ts","216","7,8"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\lib\types.ts","139","5,3"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\scoring\computeCompleteness.ts","132","4,6"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\scoring\computeGlobalScore.ts","25","1,2"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\scoring\computeSubscores.ts","148","7,2"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\scoring\scoringConfig.ts","87","3,7"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\types\market.types.ts","120","3,4"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\utils\hash.ts","12","0,4"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\utils\http.ts","23","0,8"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\supabase\functions\market-study-v1\utils\validate.ts","62","2,5"
