"FullName","Lines","SizeKB"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\components\CadastreMap.tsx","487","17,7"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\plu\types\ResolvedPluRulesetV1.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\plu\validation\normalizeAndValidateRuleset.ts","349","11,8"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\routes\extractZone.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\services\openai.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\services\pdf.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\services\supabase.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\services\validateRuleset.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\spaces\foncier\Foncier.tsx","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\spaces\promoteur\bilan\services\exportMemo.service.ts","98","4,1"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\spaces\promoteur\bilan\services\snapshotNormalize.service.ts","38","1,8"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\spaces\promoteur\terrain3d\earthworks.ts","102","3,9"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\types\PluRuleset.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\utils\errors.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\index.ts","0","0"
"C:\Users\maigr\OneDrive\Bureau\supabase-backend\src\server.ts","0","0"
